uid,title,url,imgUrl,website,type,episode,subTitle
2ad58cbe-6882-41c1-94f2-7b295b9a3571,爸爸回来了第2季,http://www.iqiyi.com/v_19rron3ki4.html,http://pic5.qiyipic.com/image/20150514/ae/59/a_100011235_m_601_m3_180_236.jpg,iqiyi,zongyi,更新至2015-07-11期,甜馨受追捧乃爸吃醋 奥莉畅游迪士尼
e677c43b-7689-4fbf-bfb9-3c4a9724df78,奔跑吧兄弟第2季,http://www.iqiyi.com/v_19rrooe56g.html,http://pic4.qiyipic.com/image/20150415/ff/4a/a_100011175_m_601_m1_180_236.jpg,iqiyi,zongyi,更新至2015-07-03期,第十二期 强者之争 晨赫反目郑恺逆袭
c56b54c5-78c0-4306-9e4f-b774f7cab417,欢乐喜剧人,http://www.iqiyi.com/v_19rron3f7c.html,http://pic4.qiyipic.com/image/20150507/5c/ea/a_100012099_m_601_180_236.jpg,iqiyi,zongyi,更新至2015-07-11期,沈腾致敬卓别林贾玲变紫霞仙子
66793c09-889e-45cb-9365-f63aba838b4d,快乐大本营,http://www.iqiyi.com/v_19rrnz31do.html,http://pic9.qiyipic.com/image/20140904/7b/e0/09/a_50907695_m_601_m3_180_236.jpg,iqiyi,zongyi,更新至2014-12-27期,古墓姐妹花大厮杀 抢镜逗比无下限
ea76d426-c276-4df3-85b5-06cfc0a35abb,极限挑战,http://www.iqiyi.com/v_19rroopq0c.html,http://pic8.qiyipic.com/image/20150610/07/e7/a_100012806_m_601_180_236.jpg,iqiyi,zongyi,更新至2015-07-05期,王迅海岛被抛弃 黄磊犀利提问逼疯小猪
79b64975-138d-4921-b82a-2fe3cdff32cc,极速前进中国版第二季,http://www.iqiyi.com/v_19rron2sq8.html,http://pic0.qiyipic.com/image/20150711/eb/36/a_100013234_m_601_m2_180_236.jpg,iqiyi,zongyi,更新至2015-07-10期,吴昕为韩庚泪崩 邓紫棋惨摔47跤 
cfcb7489-092d-47d1-8092-0dde2df09a79,奔跑吧兄弟第1季,http://www.iqiyi.com/v_19rro0o1ds.html,http://pic4.qiyipic.com/image/20141011/91/87/a_100007031_m_601_m2_180_236.jpg,iqiyi,zongyi,更新至2015-02-24期,指压板极限任务虐趴众人
fb7f987b-d47d-4987-8766-4540ab8b83b5,奇葩说第2季,http://www.iqiyi.com/v_19rron1b1w.html,http://pic8.qiyipic.com/image/20150626/bf/a0/a_100012828_m_601_m2_180_236.jpg,iqiyi,zongyi,更新至2015-07-11期,'该不该向父母出柜'引全场落泪
574768ad-f772-425a-9702-8583678f99d7,我们相爱吧,http://www.iqiyi.com/v_19rroopf0k.html,http://pic3.qiyipic.com/image/20150507/03/4d/a_100011376_m_601_m1_180_236.jpg,iqiyi,zongyi,更新至2015-07-05期,心如好友考察任重 石榴CP体验民俗
5e2d296a-19ff-44cd-8e7a-898ed0f53456,如果爱第2季,http://www.iqiyi.com/v_19rroo083w.html,http://pic2.qiyipic.com/image/20150626/85/fd/a_100013144_m_601_180_236.jpg,iqiyi,zongyi,更新至2015-07-09期,张伦硕耍浪漫俘获女神心
